scenario,time_h,radius_um,extracellular_nm,neighbor_intracellular_nm,hypothetical_neighbor_survival,neighbor_cell_volume_um3
High permeability,0.0,1.25,0.0,0.0,1.0,0.0
High permeability,0.0,3.75,0.0,0.0,1.0,0.0
High permeability,0.0,6.25,0.0,0.0,1.0,0.0
High permeability,0.0,8.75,0.0,0.0,1.0,0.0
High permeability,0.0,11.25,0.0,0.0,1.0,0.0
High permeability,0.0,13.75,0.0,0.0,1.0,0.0
High permeability,0.0,16.25,0.0,0.0,1.0,0.0
High permeability,0.0,18.75,0.0,0.0,1.0,0.0
High permeability,0.0,21.25,0.0,0.0,1.0,9941.831751672698
High permeability,0.0,23.75,0.0,0.0,1.0,12415.83596637466
High permeability,0.0,26.25,0.0,0.0,1.0,15164.729538265727
High permeability,0.0,28.75,0.0,0.0,1.0,18188.512467345903
High permeability,0.0,31.25,0.0,0.0,1.0,21487.184753615187
High permeability,0.0,33.75,0.0,0.0,1.0,25060.746397073577
High permeability,0.0,36.25,0.0,0.0,1.0,28909.197397721073
High permeability,0.0,38.75,0.0,0.0,1.0,33032.53775555768
High permeability,0.0,41.25,0.0,0.0,1.0,37430.767470583385
High permeability,0.0,43.75,0.0,0.0,1.0,42103.8865427982
High permeability,0.0,46.25,0.0,0.0,1.0,47051.89497220213
High permeability,0.0,48.75,0.0,0.0,1.0,52274.79275879515
High permeability,0.0,51.25,0.0,0.0,1.0,57772.579902577294
High permeability,0.0,53.75,0.0,0.0,1.0,63545.25640354854
High permeability,0.0,56.25,0.0,0.0,1.0,69592.82226170889
High permeability,0.0,58.75,0.0,0.0,1.0,75915.27747705833
High permeability,0.0,61.25,0.0,0.0,1.0,82512.6220495969
High permeability,0.0,63.75,0.0,0.0,1.0,89384.85597932458
High permeability,0.0,66.25,0.0,0.0,1.0,96531.97926624135
High permeability,0.0,68.75,0.0,0.0,1.0,103953.99191034725
High permeability,0.0,71.25,0.0,0.0,1.0,111650.89391164223
High permeability,0.0,73.75,0.0,0.0,1.0,119622.68527012634
High permeability,0.0,76.25,0.0,0.0,1.0,127869.36598579954
High permeability,0.0,78.75,0.0,0.0,1.0,136390.93605866184
High permeability,0.0,81.25,0.0,0.0,1.0,145187.3954887133
High permeability,0.0,83.75,0.0,0.0,1.0,154258.7442759538
High permeability,0.0,86.25,0.0,0.0,1.0,163604.98242038343
High permeability,0.0,88.75,0.0,0.0,1.0,173226.10992200216
High permeability,0.0,91.25,0.0,0.0,1.0,183122.12678081
High permeability,0.0,93.75,0.0,0.0,1.0,193293.03299680696
High permeability,0.0,96.25,0.0,0.0,1.0,203738.82856999306
High permeability,0.0,98.75,0.0,0.0,1.0,214459.5135003682
